Year,State ANSI,County ANSI,Value
2016,1,47,118.8
2016,1,51,151.8
2016,1,87,131.9
2016,1,91,137.2
2016,1,,132.2
2016,1,105,123.7
2016,1,3,152.9
2016,1,35,116.7
2016,1,53,143.5
2016,1,99,122.4
2016,1,,110.6
2016,1,19,92.3
2016,1,29,125
2016,1,43,117.2
2016,1,49,96.8
2016,1,55,92.2
2016,1,71,80.5
2016,1,,93.4
2016,1,33,126.2
2016,1,59,85.7
2016,1,77,106.5
2016,1,79,117.2
2016,1,83,112.9
2016,1,89,150.7
2016,1,103,107
2016,1,,103.8
2016,1,57,85
2016,1,75,78.6
2016,1,,147.6
2016,1,111,97
2016,1,117,93.6
2016,1,123,173
2016,1,125,132.2
2016,1,5,188.9
2016,1,31,104.5
2016,1,39,108.1
2016,1,45,145
2016,1,61,129.4
2016,1,67,142.9
2016,1,,95.1
2016,1,109,123.9
2016,5,1,182
2016,5,35,142.9
2016,5,77,149.5
2016,5,85,173.7
2016,5,95,163.4
2016,5,,184
2016,5,107,169.8
2016,5,117,182.5
2016,5,147,159.6
2016,5,21,172.9
2016,5,31,184.4
2016,5,55,168.8
2016,5,67,147.3
2016,5,75,167.5
2016,5,,171
2016,5,111,176.7
2016,5,121,173.6
2016,5,3,189
2016,5,17,184.4
2016,5,41,186
2016,5,43,188.1
2016,5,69,190.9
2016,5,79,181.2
2016,5,33,110
2016,5,71,143.7
2016,5,,120.4
2016,5,149,156.7
2016,6,,145.1
2016,6,21,255.4
2016,6,,262.2
2016,6,67,213.5
2016,6,95,193.9
2016,6,101,264.1
2016,6,113,210
2016,6,19,166
2016,6,29,156.8
2016,6,47,113.3
2016,6,,168.4
2016,6,77,181.2
2016,8,1,90.1
2016,8,17,81.8
2016,8,39,40.4
2016,8,61,50.7
2016,8,63,116.7
2016,8,73,64.2
2016,8,,90
2016,8,95,142.9
2016,8,125,183.5
2016,8,13,153.1
2016,8,69,101.2
2016,8,,171
2016,8,115,122.2
2016,8,123,157.4
2016,8,9,128.2
2016,8,11,155.4
2016,8,89,187.7
2016,8,,166.7
2016,10,1,181.8
2016,10,3,161.5
2016,10,5,165.4
2016,13,153,143.8
2016,13,167,183.9
2016,13,,154.6
2016,13,225,175.5
2016,13,33,186.8
2016,13,107,145.9
2016,13,163,202.9
2016,13,165,164.6
2016,13,,101
2016,13,251,163.5
2016,13,,128.4
2016,13,119,118
2016,13,137,87
2016,13,147,127
2016,13,,101
2016,13,115,86.4
2016,13,129,43
2016,13,,90.3
2016,13,233,118.5
2016,13,3,123.5
2016,13,69,162.9
2016,13,71,179.3
2016,13,75,165.6
2016,13,155,187.5
2016,13,161,174.1
2016,13,173,154.4
2016,13,,161.6
2016,13,315,190
2016,13,321,170
2016,13,1,201.5
2016,13,5,145
2016,13,,127.1
2016,13,229,131.2
2016,13,267,186.2
2016,13,299,145.3
2016,13,7,184.6
2016,13,37,197.2
2016,13,87,192.6
2016,13,131,147.9
2016,13,201,178.5
2016,13,205,192.1
2016,13,,166.7
2016,13,253,205
2016,13,261,192.1
2016,13,273,161.9
2016,13,275,130.6
2016,13,193,168.6
2016,13,197,88.4
2016,13,,91.5
2016,16,53,192.9
2016,16,63,200
2016,16,,185.4
2016,16,27,168.3
2016,16,45,191.5
2016,16,,209.7
2016,16,73,198.4
2016,16,75,221.2
2016,17,39,214.5
2016,17,107,219.4
2016,17,115,214.9
2016,17,123,215.6
2016,17,125,198.6
2016,17,113,218.1
2016,17,129,209.3
2016,17,143,214.6
2016,17,175,225.7
2016,17,179,236
2016,17,203,232.8
2016,17,19,210.2
2016,17,53,204
2016,17,75,193.6
2016,17,91,195.5
2016,17,105,214.7
2016,17,147,218.7
2016,17,183,203.9
2016,17,25,154.2
2016,17,35,178.4
2016,17,41,208.6
2016,17,45,193.4
2016,17,49,162.2
2016,17,51,163
2016,17,79,165.3
2016,17,121,144.8
2016,17,139,207.9
2016,17,,175.5
2016,17,159,147
2016,17,173,185.7
2016,17,7,197.5
2016,17,31,170
2016,17,37,215.6
2016,17,63,212.4
2016,17,89,210.8
2016,17,93,206.8
2016,17,99,205.6
2016,17,97,154.8
2016,17,111,199.8
2016,17,,189.5
2016,17,11,203.9
2016,17,15,231.9
2016,17,73,207.9
2016,17,85,204.9
2016,17,103,200.9
2016,17,131,213.5
2016,17,141,225.9
2016,17,155,218.1
2016,17,161,210.8
2016,17,177,211.2
2016,17,195,199
2016,17,201,193.9
2016,17,47,141.6
2016,17,55,115.6
2016,17,59,159.4
2016,17,65,123.5
2016,17,81,121.8
2016,17,127,138.7
2016,17,,131.5
2016,17,151,127.3
2016,17,165,136.6
2016,17,185,156.4
2016,17,193,135.2
2016,17,3,131.5
2016,17,27,154.9
2016,17,77,136.7
2016,17,87,93.9
2016,17,133,149.2
2016,17,145,112.6
2016,17,153,141.5
2016,17,157,135.1
2016,17,163,159.2
2016,17,181,115.8
2016,17,189,140.3
2016,17,199,107.8
2016,17,1,193.1
2016,17,9,182.3
2016,17,57,195.1
2016,17,67,207.6
2016,17,71,207
2016,17,95,223.3
2016,17,109,212.2
2016,17,169,186.5
2016,17,187,229.2
2016,17,17,202.3
2016,17,21,203.2
2016,17,61,186.9
2016,17,83,175.6
2016,17,117,199.2
2016,17,119,172
2016,17,135,196.9
2016,17,137,205.6
2016,17,,166.7
2016,17,149,181.7
2016,17,167,222.1
2016,17,171,193.3
2016,18,5,171.2
2016,18,11,180.1
2016,18,23,190.6
2016,18,31,178.9
2016,18,57,179.5
2016,18,59,172.4
2016,18,63,178.8
2016,18,67,192.7
2016,18,81,160.9
2016,18,95,181.1
2016,18,109,166
2016,18,,178.7
2016,18,139,188.8
2016,18,145,165
2016,18,159,198.5
2016,18,9,173.9
2016,18,35,165
2016,18,41,173.2
2016,18,65,177.6
2016,18,75,167.3
2016,18,135,165.8
2016,18,161,177.1
2016,18,177,167.2
2016,18,15,197.8
2016,18,17,189.6
2016,18,39,158.7
2016,18,49,176.7
2016,18,85,164.8
2016,18,99,169
2016,18,103,167.2
2016,18,141,149.2
2016,18,169,177.3
2016,18,1,159.5
2016,18,3,157.9
2016,18,33,146.4
2016,18,87,134.1
2016,18,113,157.1
2016,18,,177.3
2016,18,151,147.6
2016,18,183,161.2
2016,18,7,199.2
2016,18,73,180.1
2016,18,91,147.9
2016,18,89,177.4
2016,18,111,204.7
2016,18,127,173.3
2016,18,131,158.8
2016,18,149,142.7
2016,18,181,189.2
2016,18,43,128.6
2016,18,61,149.8
2016,18,71,161.1
2016,18,93,144.6
2016,18,105,160.7
2016,18,117,162.3
2016,18,,126.3
2016,18,175,147.8
2016,18,19,140.5
2016,18,29,162.1
2016,18,47,175.3
2016,18,77,148.8
2016,18,79,156.6
2016,18,115,150
2016,18,137,157.9
2016,18,143,142.2
2016,18,155,158.2
2016,18,27,171.9
2016,18,37,143.3
2016,18,51,161.7
2016,18,55,156
2016,18,83,169.7
2016,18,101,160.7
2016,18,125,146.5
2016,18,129,144
2016,18,147,149.1
2016,18,153,164.1
2016,18,163,154
2016,18,173,134.6
