Reference DO = 0.25,Reference DO = 0.5,Reference DO = 0.1,Architecture 2,Architecture 3,Architecture 4,Linear
1.37E+02,1.44E+02,9.48E+01,1.30E+02,1.35E+02,3.05E+02,4.70E+01
1.73E+01,2.12E+01,8.99E+00,1.18E+01,1.79E+01,1.37E+01,1.11E+01
1.61E+01,1.84E+01,1.06E+01,1.66E+01,1.19E+01,1.88E+01,9.07E+00
1.08E+01,1.00E+01,1.07E+01,1.41E+01,9.20E+00,1.43E+01,8.47E+00
9.85E+00,7.63E+00,1.16E+01,1.25E+01,1.00E+01,1.50E+01,8.06E+00
7.85E+00,6.24E+00,1.26E+01,1.22E+01,7.69E+00,1.71E+01,7.83E+00
9.73E+00,5.77E+00,8.76E+00,1.07E+01,7.60E+00,1.68E+01,7.81E+00
7.74E+00,6.39E+00,8.15E+00,9.86E+00,7.58E+00,1.48E+01,7.66E+00
6.52E+00,6.77E+00,8.80E+00,8.57E+00,6.74E+00,1.21E+01,7.86E+00
6.28E+00,7.07E+00,8.03E+00,6.44E+00,6.25E+00,1.48E+01,7.60E+00
6.16E+00,6.06E+00,8.16E+00,7.17E+00,7.00E+00,9.56E+00,7.47E+00
6.05E+00,5.85E+00,7.35E+00,5.77E+00,6.34E+00,7.94E+00,7.64E+00
5.88E+00,5.78E+00,1.01E+01,5.57E+00,6.14E+00,8.30E+00,7.60E+00
6.20E+00,6.02E+00,7.03E+00,6.39E+00,6.67E+00,1.19E+01,7.45E+00
6.03E+00,6.35E+00,6.43E+00,5.74E+00,5.86E+00,9.48E+00,7.81E+00
7.03E+00,5.73E+00,7.60E+00,6.95E+00,6.56E+00,7.64E+00,7.37E+00
5.91E+00,6.19E+00,8.62E+00,5.96E+00,7.47E+00,6.44E+00,7.61E+00
6.81E+00,5.89E+00,6.40E+00,6.27E+00,5.31E+00,6.88E+00,7.46E+00
6.26E+00,6.08E+00,6.84E+00,6.18E+00,5.80E+00,7.05E+00,7.63E+00
6.35E+00,6.11E+00,7.17E+00,5.75E+00,5.98E+00,7.08E+00,7.64E+00
6.15E+00,5.94E+00,6.78E+00,5.97E+00,5.86E+00,7.74E+00,7.71E+00
6.50E+00,5.94E+00,6.77E+00,5.90E+00,6.00E+00,7.00E+00,7.67E+00
6.50E+00,6.04E+00,6.30E+00,6.27E+00,5.97E+00,7.59E+00,7.65E+00
6.22E+00,6.23E+00,6.32E+00,5.88E+00,6.06E+00,7.11E+00,7.55E+00
6.22E+00,6.07E+00,6.30E+00,5.91E+00,6.19E+00,7.13E+00,7.70E+00
6.35E+00,5.58E+00,6.31E+00,5.95E+00,5.78E+00,7.63E+00,7.73E+00
6.05E+00,5.95E+00,6.17E+00,6.04E+00,5.98E+00,6.69E+00,7.60E+00
6.31E+00,6.30E+00,6.03E+00,5.95E+00,6.08E+00,7.47E+00,7.62E+00
6.47E+00,5.46E+00,6.07E+00,6.02E+00,5.90E+00,6.94E+00,7.64E+00
6.16E+00,5.93E+00,6.10E+00,6.40E+00,5.93E+00,6.52E+00,7.64E+00
6.27E+00,5.74E+00,6.03E+00,6.12E+00,5.87E+00,7.03E+00,7.62E+00
6.36E+00,5.37E+00,6.00E+00,6.30E+00,5.85E+00,7.05E+00,7.56E+00
6.54E+00,6.17E+00,5.92E+00,6.47E+00,5.78E+00,6.68E+00,7.61E+00
6.18E+00,5.91E+00,6.08E+00,6.07E+00,5.75E+00,7.61E+00,7.57E+00
6.29E+00,5.80E+00,6.19E+00,6.29E+00,5.63E+00,6.69E+00,7.61E+00
6.38E+00,5.82E+00,6.28E+00,6.20E+00,6.29E+00,6.79E+00,7.64E+00
6.21E+00,5.96E+00,6.00E+00,6.21E+00,5.87E+00,6.50E+00,7.57E+00
6.25E+00,5.64E+00,5.89E+00,6.15E+00,5.63E+00,6.30E+00,7.54E+00
6.27E+00,5.85E+00,6.29E+00,6.22E+00,5.64E+00,6.59E+00,7.60E+00
6.43E+00,6.23E+00,5.98E+00,6.15E+00,5.65E+00,6.34E+00,7.53E+00
6.41E+00,6.28E+00,6.04E+00,6.38E+00,5.74E+00,6.88E+00,7.58E+00
6.27E+00,6.48E+00,6.21E+00,6.45E+00,5.53E+00,5.96E+00,7.59E+00
6.18E+00,6.48E+00,5.91E+00,6.37E+00,5.69E+00,6.51E+00,7.59E+00
6.85E+00,5.90E+00,6.14E+00,6.73E+00,5.71E+00,6.17E+00,7.61E+00
6.45E+00,6.26E+00,6.05E+00,6.37E+00,5.73E+00,5.82E+00,7.62E+00
6.39E+00,6.00E+00,5.99E+00,6.18E+00,5.88E+00,6.06E+00,7.62E+00
6.48E+00,6.21E+00,5.94E+00,6.30E+00,5.70E+00,6.12E+00,7.63E+00
6.60E+00,6.17E+00,5.88E+00,6.33E+00,5.82E+00,5.78E+00,7.60E+00
6.20E+00,6.77E+00,6.00E+00,6.21E+00,5.95E+00,5.63E+00,7.57E+00
6.35E+00,5.63E+00,6.27E+00,6.23E+00,5.73E+00,6.03E+00,7.52E+00
6.35E+00,5.61E+00,6.50E+00,6.24E+00,5.86E+00,5.91E+00,7.63E+00
6.47E+00,6.09E+00,6.20E+00,6.57E+00,5.84E+00,5.81E+00,7.66E+00
6.40E+00,5.87E+00,6.43E+00,6.24E+00,5.77E+00,5.67E+00,7.57E+00
6.57E+00,5.88E+00,6.04E+00,6.10E+00,5.92E+00,5.84E+00,7.65E+00
6.61E+00,5.87E+00,5.97E+00,6.37E+00,5.69E+00,5.70E+00,7.68E+00
6.36E+00,6.10E+00,6.19E+00,6.23E+00,5.75E+00,5.52E+00,7.66E+00
6.64E+00,6.02E+00,5.94E+00,6.16E+00,5.89E+00,5.61E+00,7.66E+00
6.30E+00,5.90E+00,5.95E+00,6.17E+00,5.79E+00,5.62E+00,7.65E+00
6.57E+00,5.49E+00,6.32E+00,6.33E+00,5.62E+00,5.54E+00,7.59E+00
6.38E+00,5.84E+00,6.43E+00,6.20E+00,5.95E+00,5.65E+00,7.67E+00
6.40E+00,6.25E+00,6.04E+00,6.14E+00,5.79E+00,5.68E+00,7.65E+00
6.37E+00,6.64E+00,6.49E+00,6.20E+00,5.69E+00,5.74E+00,7.68E+00
6.14E+00,6.11E+00,6.71E+00,6.14E+00,5.67E+00,5.69E+00,7.71E+00
6.32E+00,6.75E+00,6.20E+00,6.17E+00,5.59E+00,5.57E+00,7.62E+00
6.47E+00,6.01E+00,6.45E+00,6.15E+00,5.60E+00,5.57E+00,7.62E+00
6.15E+00,5.72E+00,6.60E+00,6.48E+00,5.72E+00,5.73E+00,7.63E+00
6.14E+00,5.90E+00,6.73E+00,6.28E+00,5.58E+00,5.61E+00,7.69E+00
6.34E+00,6.15E+00,6.12E+00,6.15E+00,5.66E+00,5.56E+00,7.62E+00
6.12E+00,6.48E+00,5.97E+00,6.15E+00,5.69E+00,5.58E+00,7.70E+00
6.26E+00,5.97E+00,6.30E+00,6.08E+00,5.49E+00,5.46E+00,7.69E+00
6.36E+00,6.24E+00,6.65E+00,6.28E+00,5.68E+00,5.40E+00,7.68E+00
6.39E+00,6.36E+00,6.20E+00,6.85E+00,5.73E+00,5.47E+00,7.66E+00
6.22E+00,5.79E+00,6.81E+00,6.08E+00,5.58E+00,5.38E+00,7.68E+00
6.14E+00,5.99E+00,6.42E+00,6.01E+00,5.51E+00,5.49E+00,7.66E+00
6.41E+00,5.92E+00,6.88E+00,6.02E+00,5.42E+00,5.34E+00,7.66E+00
6.74E+00,6.59E+00,6.77E+00,6.36E+00,5.53E+00,5.43E+00,7.59E+00
6.34E+00,6.30E+00,6.53E+00,6.03E+00,5.52E+00,5.37E+00,7.62E+00
6.26E+00,6.10E+00,6.83E+00,6.36E+00,5.47E+00,5.35E+00,7.67E+00
6.04E+00,6.04E+00,5.79E+00,6.17E+00,5.56E+00,5.39E+00,7.74E+00
6.19E+00,6.10E+00,6.01E+00,6.30E+00,5.50E+00,5.54E+00,7.66E+00
6.07E+00,5.81E+00,6.79E+00,6.12E+00,5.40E+00,5.50E+00,7.55E+00
5.98E+00,5.97E+00,6.46E+00,6.03E+00,5.53E+00,5.57E+00,7.66E+00
6.15E+00,5.81E+00,6.63E+00,6.02E+00,5.36E+00,5.67E+00,7.69E+00
